District,Ward,Population ,Wp,Density(persons per sq km),Df,Area(km2),Avg Education level(Education Index),Ef,Urbanization index(BUA km^2),Uf,Sf,Sm,Days,Total Waste,
Colaba/Fort/Navy Nagar,A,210926,0.3,16874,1.20622,12.50005926,0.75,0.9,1.85,1.059199719,0.2,0.1,365,34525063.01,
Dongri/Masjid Bunder/Umarkhadi/Sandhurst Road,B,199550,0.3,"70,264",2.80792,2.840003416,0.7,0.88,1.24,1.174647677,0.2,0.1,365,82448779.33,
Marine Lines/Dhobi Talao/Kalbadevi,C,170100,0.3,"95,562",3.56686,1.779996233,0.72,0.888,1.79,1.402248042,0.2,0.1,365,107543869,
Grant Road/Nana Chowk/Tardeo/Walkeshwar,D,346700,0.3,"43,175",1.99525,8.030110017,0.73,0.892,3.37,1.167868186,0.2,0.1,365,102581091.3,
Byculla/Mazgaon/Nagpada/Agripada,E,413662,0.3,56500,2.395,7.321451327,0.65,0.86,3.87,1.211433489,0.2,0.1,365,146928702.4,
Matunga/Sion/Wadala,F/N,698000,0.3,53900,2.317,12.94990724,0.62,0.848,4.62,1.142703725,0.2,0.1,365,223084000.1,
Parel/Sewri/Kalachowki,F/S,377873,0.3,27000,1.51,13.9952963,0.68,0.872,3.49,1.099747799,0.2,0.1,365,77891464.01,
Dadar(west)/Mahim/Dharavi,G/N,"590,609.00",0.3,"65,828",2.67484,8.972002795,0.58,0.832,7,1.312081936,0.2,0.1,365,245493288.7,
Prabhadevi/Worli/Elphinstone Road,G/S,"377,749.00",0.3,"37,775",1.83325,9.999973527,0.6,0.84,5.5,1.220000582,0.2,0.1,365,101023360.8,
Bandra(west)/Khar(west)/Santacruz(west),H/W,"495,000",0.3,"42,672",1.98016,11.60011249,0.7,0.88,9,1.310341818,0.2,0.1,365,160890435.5,
Khar(east)/Bandra(east)/Santacruz(East)/Kalina,H/E,579123,0.3,"31,270",1.6381,18.52008315,0.55,0.82,8,1.172785401,0.2,0.1,365,129867685,
Chembur East/Govandi/Mankhurd/Trombay,M/E,"950,000",0.3,"29,230",1.5769,32.50085529,0.35,0.74,20,1.246147368,0.2,0.1,365,196646560.4,
Chembur West/Tilak Nagar,M/W,"580,000",0.3,"29,940",1.5982,19.37207749,0.5,0.8,12,1.24777931,0.2,0.1,365,131717766.7,
Ghatkopar,N,660000,0.3,"25,423",1.46269,25.96074421,0.55,0.82,15,1.231118182,0.2,0.1,365,138729013.1,
Andheri East/Jogeshwari East/Vile Parle(east),K/E,1400000,0.3,92000,3.46,15.2173913,0.6,0.84,14,1.368,0.2,0.1,365,792368111.8,
Andheri West/Jogeshwari West/Vile Parle(west)/Juhu,K/W,750000,0.3,29956,1.59868,25.03672052,0.65,0.86,12,1.1917184,0.2,0.1,365,174925197.5,
Bhandup/Nahur/Mulund Colony,S,800000,0.3,21164,1.33492,37.8000378,0.6,0.84,30,1.31746,0.2,0.1,365,168236189.3,
Kurla/Chunabhatti/Nehru Nagar,L,892278,0.3,56189,2.38567,15.87994091,0.45,0.78,14,1.352646148,0.2,0.1,365,319703086.3,
,,,,,,,,,,,,,Total:,3334603664,kg/year
,,,,,,,,,,,,,,9135900.45,kg/day
